EX(m),EY(m)
27.369,29.05
27.343,29.798
27.322,30.546
27.327,31.295
27.322,32.043
27.349,32.791
27.398,33.538
27.44,34.286
27.467,35.034
27.468,35.782
27.493,36.53
27.298,37.253
26.618,37.567
49.051,44.375
48.303,44.396
47.555,44.383
46.807,44.407
46.058,44.432
45.311,44.465
44.563,44.497
43.817,44.566
43.069,44.595
42.322,44.636
41.574,44.651
40.826,44.697
40.078,44.707
39.331,44.748
38.584,44.799
37.842,44.9
37.095,44.944
36.35,45.02
35.604,45.073
34.86,45.162
34.116,45.239
33.37,45.298
32.622,45.333
31.874,45.358
31.125,45.374
30.378,45.418
29.632,45.482
28.884,45.517
28.136,45.541
27.39,45.598
26.642,45.629
25.896,45.692
25.15,45.749
24.407,45.841
23.66,45.884
22.912,45.918
22.165,45.965
21.421,46.051
20.676,46.124
19.933,46.213
19.189,46.291
18.444,46.372
17.698,46.433
16.952,46.494
16.206,46.546
15.459,46.602
14.711,46.635
13.965,46.694
13.217,46.713
12.472,46.791
11.724,46.813
10.977,46.858
10.229,46.895
9.482,46.935
8.734,46.97
7.988,47.026
7.239,47.046
6.491,47.08
5.743,47.098
4.998,47.172
4.31,47.467
4.004,48.15
3.892,48.89
1.2,12.946
1.218,13.694
1.289,14.439
1.342,15.186
1.425,15.93
1.439,16.678
1.468,17.426
1.479,18.175
1.546,18.92
1.605,19.666
1.636,20.414
1.679,21.162
1.755,21.906
1.819,22.652
1.835,23.4
1.822,24.149
1.854,24.897
1.864,25.645
1.86,26.394
1.853,27.142
1.847,27.891
1.808,28.638
1.843,29.386
1.844,30.134
1.85,30.883
1.83,31.631
1.813,32.38
1.774,33.127
1.755,33.875
1.73,34.624
1.768,35.371
1.782,36.12
1.812,36.868
1.805,37.616
1.834,38.364
1.844,39.112
1.88,39.86
2.18,40.546
2.893,40.772
3.159,40.072
1.2,38.085
1.141,37.339
1.077,36.593
1.039,35.845
0.987,35.098
0.97,34.35
0.935,33.602
0.939,32.854
0.922,32.106
0.91,31.357
0.866,30.61
0.858,29.861
0.843,29.113
0.842,28.364
0.84,27.616
0.889,26.869
0.885,26.12
0.851,25.373
0.79,24.627
0.776,23.878
0.761,23.13
0.759,22.381
0.721,21.634
0.693,20.886
0.654,20.138
0.641,19.39
0.602,18.642
0.591,17.894
0.585,17.145
0.61,16.397
0.615,15.649
0.628,14.9
0.629,14.152
0.652,13.403
0.634,12.655
0.616,11.907
0.595,11.159
0.596,10.41
0.701,9.669
1.355,9.305
1.949,10.7
2.696,10.735
3.445,10.745
4.192,10.791
4.94,10.802
5.687,10.853
6.435,10.888
7.183,10.916
7.93,10.968
8.675,11.031
9.422,11.087
10.165,11.174
10.911,11.239
11.66,11.239
12.408,11.241
13.156,11.274
13.904,11.291
14.651,11.347
15.398,11.385
16.146,11.425
16.894,11.45
17.641,11.499
18.389,11.501
19.138,11.526
19.886,11.552
20.633,11.595
21.38,11.635
22.128,11.681
22.876,11.698
23.624,11.723
24.373,11.727
25.12,11.761
25.868,11.796
26.616,11.815
27.364,11.853
28.112,11.875
28.859,11.918
29.607,11.953
30.356,11.967
31.104,11.993
31.852,12.026
32.597,12.088
33.344,12.144
34.09,12.207
34.838,12.241
35.585,12.289
36.333,12.315
37.081,12.346
37.828,12.381
38.575,12.436
39.322,12.48
40.069,12.525
40.817,12.555
41.564,12.61
42.312,12.613
43.061,12.619
43.809,12.606
44.557,12.635
45.306,12.627
46.054,12.656
46.793,12.538
47.26,11.954
49.8,9.203
49.763,8.455
49.687,7.711
49.643,6.963
49.581,6.217
49.564,5.469
49.526,4.722
49.463,3.976
49.335,3.238
49.255,2.494
49.214,1.746
